Company Name,Ticker,Sector,Industry,Market Cap (mil)
GE Aerospace,GE,Aerospace,Aerospace - Defense,330806.31
Tesla,TSLA,Auto-Tires-Trucks,Automotive - Domestic,1566415.13
Linde PLC,LIN,Basic Materials,Chemical - Specialty,224602.42
Visa,V,Business Services,Financial Transaction Services,570109.38
NVIDIA,NVDA,Computer and Technology,Semiconductor - General,4442283.0
Honeywell International,HON,Conglomerates,Diversified Operations,153249.08
Johnson Controls International,JCI,Construction,Building Products - Wood,85224.09
Netflix,NFLX,Consumer Discretionary,Broadcast Radio and Television,324557.63
Procter & Gamble,PG,Consumer Staples,Consumer Products - Staples,372002.81
Berkshire Hathaway,BRK.B,Finance,Insurance - Property and Casualty,1073382.0
Caterpillar,CAT,Industrial Products,Manufacturing - Construction and Mining,362309.81
Eli Lilly,LLY,Medical,Large Cap Pharmaceuticals,981091.75
Exxon Mobil,XOM,Oils-Energy,Oil and Gas - Integrated - International,626038.19
Amazon.com,AMZN,Retail-Wholesale,Internet - Commerce,2133994.75
Union Pacific,UNP,Transportation,Transportation - Rail,154685.28
"Blaize Holdings, Inc.",BZAI,Unclassified,Unclassified,130.97
NextEra Energy,NEE,Utilities,Utility - Electric Power,195348.78
