Company Name,Ticker,Exchange,Month of Fiscal Yr End,Industry,Sector,Market Cap (mil),Last Close,Beta,Average Target Price,12 Mo Trailing EPS,F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,Long-Term Growth Consensus Est.,P/E (Trailing 12 Months),P/E (F1),P/E (F2),PEG Ratio,PE1,PE2,EG1,EG2,PEG1,PEG2
EquipmentShare.com Inc.,EQPT,NSDQ,12,Industrial Services,Industrial Products,5259.5,20.84,,40.71,,-0.31,0.55,1.2,20.0,,37.89,17.37,1.89,37.89090909090909,17.366666666666667,100.0,118.18181818181816,0.3789090909090909,0.14694871794871797
Upstart,UPST,NSDQ,12,Financial - Miscellaneous Services,Finance,3234.11,33.79,2.26,38.59,1.64,1.67,2.25,3.27,40.57,20.6,15.0,10.34,0.37,15.017777777777777,10.333333333333332,34.730538922155695,45.333333333333336,0.43240842911877386,0.2279411764705882
Oscar Health,OSCR,NYSE,12,Insurance - Multi line,Finance,6702.19,22.23,2.34,21.2,-0.59,-1.35,0.47,1.1,30.43,,47.3,20.15,1.55,47.297872340425535,20.209090909090907,100.0,134.04255319148942,0.47297872340425534,0.1507662337662337
"Core Natural Resources, Inc.",CNR,NYSE,12,Coal,Oils-Energy,4458.08,88.44,0.14,112.2,-1.22,-2.25,1.7,5.65,,,52.02,15.65,,52.023529411764706,15.653097345132743,100.0,232.3529411764706,0.520235294117647,0.06736776072588775
Avis Budget Group,CAR,NSDQ,12,Transportation - Services,Transportation,6211.55,175.84,1.91,127.0,-4.33,-4.31,2.93,7.64,,,59.93,23.02,,60.01365187713311,23.015706806282726,100.0,160.7508532423208,0.6001365187713311,0.14317626527050614
"Chime Financial, Inc.",CHYM,NSDQ,12,Financial - Miscellaneous Services,Finance,7086.95,18.6,,30.25,-7.43,-4.43,0.3,0.77,,,61.47,24.24,,62.00000000000001,24.155844155844157,100.0,156.66666666666669,0.6200000000000001,0.15418623929262226
ArcBest,ARCB,NSDQ,12,Transportation - Truck,Transportation,3043.27,136.69,1.55,132.33,3.5,3.78,5.29,8.17,34.98,39.05,25.84,16.72,0.74,25.839319470699433,16.730722154222764,39.94708994708995,54.44234404536861,0.6468385933724758,0.3073108340133279
Vishay Intertechnology,VSH,NYSE,12,Semiconductor - Discretes,Computer and Technology,7084.32,52.05,1.53,38.67,0.03,-0.04,0.75,1.54,,1735.0,69.09,33.8,,69.39999999999999,33.798701298701296,100.0,105.33333333333333,0.694,0.3208737465066579
"Lazard, Inc.",LAZ,NYSE,12,Financial - Miscellaneous Services,Finance,5286.15,47.33,1.44,52.56,2.3,2.32,2.85,4.78,32.86,20.58,16.63,9.9,0.51,16.607017543859648,9.901673640167363,22.844827586206918,67.71929824561404,0.7269486924859311,0.146216424220088
Alignment Healthcare,ALHC,NSDQ,12,Medical Services,Medical,3167.16,15.32,1.26,24.92,0.09,-0.12,0.19,0.45,37.98,170.22,81.49,34.04,2.15,80.63157894736842,34.044444444444444,100.0,136.84210526315786,0.8063157894736842,0.24878632478632484
DAVE INC,DAVE,NSDQ,12,Technology Services,Business Services,3592.47,282.56,3.93,325.73,14.71,13.29,16.17,20.31,,19.21,17.48,13.91,,17.474335188620902,13.9123584441162,21.670428893905203,25.6029684601113,0.8063677592249016,0.5433884928535244
Compass,COMP,NYSE,12,Internet - Software,Computer and Technology,6149.07,8.23,2.45,12.82,0.02,-0.08,0.1,0.44,,411.5,84.79,18.87,,82.3,18.704545454545457,100.0,339.99999999999994,0.823,0.055013368983957235
Steven Madden,SHOO,NSDQ,12,Shoes and Retail Apparel ,Consumer Discretionary,3174.81,43.44,1.12,45.38,1.56,1.68,2.09,2.79,,27.85,20.82,15.55,,20.784688995215312,15.569892473118278,24.404761904761905,33.4928229665072,0.8516653051697981,0.4648725038402454
Himax Technologies,HIMX,NSDQ,12,Electronics - Semiconductors,Computer and Technology,3587.94,20.57,2.03,23.7,0.2,0.25,0.4,0.72,,102.85,51.42,28.57,,51.425,28.569444444444446,60.00000000000001,79.99999999999999,0.8570833333333332,0.35711805555555565
StepStone Group,STEP,NSDQ,3,Financial - Miscellaneous Services,Finance,5875.88,49.31,1.34,71.5,2.16,2.1,2.57,3.47,,22.83,19.17,14.21,,19.186770428015567,14.210374639769451,22.38095238095237,35.0194552529183,0.8572812318900577,0.40578514249119424
DLocal Limited,DLO,NSDQ,12,Financial Transaction Services,Business Services,3497.89,11.86,1.04,16.94,0.7,0.7,0.81,1.07,,16.94,14.64,11.05,,14.641975308641973,11.084112149532709,15.714285714285726,32.09876543209877,0.9317620650953976,0.3453127246585189
Colliers International Group,CIGI,NSDQ,12,Real Estate - Operations,Finance,4822.17,94.36,1.31,149.44,6.61,6.64,7.51,8.51,,14.27,12.56,11.09,,12.564580559254328,11.088131609870741,13.102409638554224,13.315579227696395,0.9589518955568814,0.8327186839012933
Moelis & Company,MC,NYSE,12,Financial - Investment Bank,Finance,5286.57,67.29,1.87,70.6,2.84,2.61,3.17,4.25,26.33,23.69,21.2,15.85,0.81,21.227129337539434,15.83294117647059,21.45593869731801,34.069400630914835,0.9893358494817485,0.4647261437908496
